,Population,,,,,,Housing Units,,,,,
Alexander County,27544,24999,19466,15625,14554,13454,11197,9386,6436,4505,3756,3021
Alleghany County,9590,9587,8134,7734,8155,8341,5344,4670,3413,2738,2318,2181
Anson County,23474,25649,23488,24962,26781,28443,9255,9074,7431,6947,6753,6242
Ashe County,22209,22325,19571,19768,21878,22664,11119,9525,7018,5892,5691,5233
Avery County,14867,14409,12655,12009,13352,13561,8923,7075,4444,3452,3490,2910
Beaufort County,42283,40355,35980,36014,37134,36431,19598,17172,13015,11384,10326,8736
Bertie County,20388,21024,20528,24350,26439,26201,8331,7902,6640,6256,6120,5399
Bladen County,28663,30491,26477,28881,29703,27156,12685,11427,8451,7895,7268,6095
Brunswick County,50985,35777,24223,20278,19238,17125,37114,21551,11729,6616,5175,3817
Buncombe County,174821,160934,145056,130074,124403,108755,77951,66131,51618,42390,35616,28233
Burke County,75744,72504,60364,52701,45518,38615,31575,27533,18732,14501,11195,8099
Cabarrus County,98935,85895,74629,68137,63783,59393,39713,32468,24436,20757,17287,13430
Caldwell County,70709,67746,56699,49552,43352,35795,29454,25557,18064,13870,11082,8026
Camden County,5904,5829,5453,5598,5223,5440,2466,2148,1747,1597,1579,1308
Carteret County,52556,41092,31603,27438,23059,18284,34576,23740,12720,9866,6710,4600
Caswell County,20693,20705,19055,19912,20870,20032,8254,7656,5623,5138,4860,4065
Catawba County,118412,105208,90873,73191,61794,51653,49192,40731,30106,21931,16714,12049
Chatham County,38759,33415,29554,26785,25392,24726,16642,12896,9621,7572,6702,5758
Cherokee County,20170,18933,16330,16335,18294,18813,10319,8536,5844,4897,4743,4229
Chowan County,13506,12558,10764,11729,12540,11572,5910,5265,3614,3378,3092,2691
Clay County,7155,6619,5180,5526,6006,6405,4158,3370,2059,1701,1566,1483
Cleveland County,84714,83435,72556,66048,64357,58055,34232,30410,22609,18731,16326,12810
Columbus County,49587,51037,46937,48973,50621,45663,20513,19059,14973,13475,12590,10146
Craven County,81613,71043,62554,58773,48823,31298,32293,25549,18937,16457,12127,7697
Cumberland County,274566,247160,212042,148418,96006,59320,98360,81340,56864,36531,21850,12161
Currituck County,13736,11089,6976,6601,6201,6709,7367,5405,2735,2280,2054,1739
Dare County,22746,13377,6995,5935,5405,6041,21567,11006,5057,4045,2009,1813
Davidson County,126677,113162,95627,79493,62244,53377,53266,44285,30931,23700,16705,12174
Davie County,27859,24599,18855,16728,15420,14909,11496,9477,6190,5029,4238,3398
Duplin County,39995,40952,38015,40270,41074,39739,16395,15591,12630,11407,10839,9177
Durham County,181835,152235,132681,111995,101639,80244,77710,58090,43026,32994,26917,20618
Edgecombe County,56558,55988,52341,54226,51634,49162,21827,20278,16071,14216,12375,10776
Forsyth County,265878,243704,215118,189428,146135,126475,115715,95884,70848,57241,41338,32265
Franklin County,36414,30055,26820,28755,31341,30382,14957,11154,8242,7988,7690,6692
Gaston County,175093,162568,148415,127074,110836,87531,69133,59205,46165,36630,28751,19697
Gates County,9305,8875,8524,9254,9555,10060,3696,3224,2622,2456,2297,2174
Graham County,7196,7217,6562,6432,6886,6418,4132,3578,2528,1962,1945,1345
Granville County,38345,34043,32762,33110,31793,29344,14164,11563,8970,8311,7198,6472
Greene County,15384,16117,14967,16741,18024,18548,5944,5588,4707,4170,3994,3573
Guilford County,347420,317154,288645,246520,191057,153916,146812,120479,91076,72726,51547,37868
Halifax County,55516,55076,53884,58956,58377,56512,22480,20135,16281,15418,13872,11898
Harnett County,67822,59570,49667,48236,47605,44239,27896,22175,15867,13579,11927,9475
Haywood County,46942,46495,41710,39711,37631,34804,23975,20363,15030,13108,10623,8142
Henderson County,69285,58580,42804,36163,30921,26049,34131,27205,17502,14556,10752,7540
Hertford County,22523,23368,24439,22718,21453,19352,8870,8259,7075,5842,4987,4109
Hoke County,22856,20383,16436,16356,15756,14937,7999,6477,4305,3881,3516,2960
Hyde County,5411,5873,5571,5765,6479,7860,2905,2836,2002,1903,1867,1927
Iredell County,92931,82538,72197,62526,56303,50424,39191,32361,23867,18748,15272,11660
Jackson County,26846,25811,21593,17780,19261,19366,14052,11960,7254,5607,4981,4214
Johnston County,81306,70599,61737,62936,65906,63798,34172,27961,21023,18477,16810,14256
Jones County,9414,9705,9779,11005,11004,10926,3829,3655,3027,2882,2542,2272
Lee County,41374,36718,30467,26561,23522,18743,16954,13998,9764,7628,5975,4249
Lenoir County,57274,59819,55204,55276,45953,41211,23739,22563,17289,15289,11378,9098
Lincoln County,50319,42372,32682,28814,27459,24187,20189,16166,10664,8153,6854,5336
McDowell County,35681,35135,30648,26742,25720,22996,15091,13946,10213,8178,6745,5173
Macon County,23499,20178,15788,14935,16174,15880,17174,13358,8446,5702,5004,3855
Madison County,16953,16827,16003,17217,20522,22522,7667,7167,5565,4840,5156,5150
Martin County,25078,25948,24730,27139,27938,26111,10104,9319,7601,7068,6307,5300
Mecklenburg County,511433,404270,354656,272111,197052,151826,216416,156134,114974,82461,54332,37175
Mitchell County,14433,14428,13447,13906,15143,15980,6983,6055,4895,4120,4024,3518
Montgomery County,23346,22469,19267,18408,17260,16280,10421,9520,6888,5439,4597,3669
Moore County,59013,50505,39048,36733,33129,30969,27358,21048,13265,11259,9033,7222
Nash County,76677,67153,59122,61002,59919,55608,31024,25719,18512,16676,14174,12154
New Hanover County,120284,103471,82996,71742,63272,47935,57076,43319,31475,24578,20717,13681
Northampton County,20798,22195,23099,26811,28432,28299,8974,8721,6883,6856,6467,5748
Onslow County,149838,112784,103126,86208,42047,17939,47526,35437,24547,18648,8625,3950
Orange County,93851,77055,57567,42970,34435,23072,38683,28712,16950,11418,8422,5425
Pamlico County,11372,10398,9467,9850,9993,9706,6050,5011,3563,3038,2780,2271
Pasquotank County,31298,28462,26824,25630,24347,20568,12298,10502,8634,7588,6798,5022
Pender County,28855,22262,18149,18508,18423,17710,15437,10398,6758,5964,4894,4133
Perquimans County,10447,9486,8351,9178,9602,9773,4972,4170,2894,2717,2596,2437
Person County,30180,29164,25914,26394,24361,25029,12548,10685,8222,7163,6032,5272
Pitt County,107924,90146,73900,69942,63789,61244,43070,32973,22874,18505,15074,13115
Polk County,14416,12984,11735,11395,11627,11874,7273,5927,4646,4322,3557,2948
Randolph County,106546,91300,76358,61497,50804,44554,43634,35082,24949,18879,13867,10555
Richmond County,44518,45161,39889,39202,39597,36810,18218,16897,13115,11534,10382,8400
Robeson County,105179,101610,84842,89102,87769,76860,39045,33319,24121,21726,20068,16163
Rockingham County,86064,83426,72402,69629,64816,57898,35657,32258,23898,20944,17544,13228
Rowan County,110605,99186,90035,82817,75410,69206,46264,39049,29796,25777,21061,16788
Rutherford County,56918,53787,47337,45091,46356,45577,25220,21800,16407,14273,12537,10303
Sampson County,47297,49687,44954,48013,49780,47440,19183,18235,14175,13217,12318,10173
Scotland County,33754,32273,26929,25183,26336,23232,12759,11112,7848,6679,6342,5007
Stanly County,51765,48517,42822,40873,37130,32834,21808,19185,15139,12878,10231,7759
Stokes County,37223,33086,23782,22314,21520,22656,15160,12710,7979,6502,5713,5133
Surry County,61704,59449,51415,48205,45593,41783,26022,23284,17322,14480,11828,9512
Swain County,11268,10283,8835,8387,9921,12177,5664,4853,3305,2781,2575,2608
Transylvania County,25520,23417,19713,16372,15194,12241,12893,10234,7032,5199,4248,2966
Tyrrell County,3856,3975,3806,4520,5048,5556,1907,1766,1371,1322,1337,1259
Union County,84211,70436,54714,44670,42034,39097,30760,24092,16623,12665,10667,8678
Vance County,38892,36748,32691,32002,32101,29961,15743,13808,10099,9008,7997,6550
Wake County,423380,301429,229006,169082,136450,109544,177146,113439,71520,48920,34539,25248
Warren County,17265,16232,15810,19652,23539,23145,8714,7010,4855,5050,5298,4660
Washington County,13997,14801,14038,13488,13180,12323,5644,5432,4243,3589,3306,2702
Watauga County,36952,31666,23404,17529,18342,18114,19538,14662,8595,5554,4945,4146
Wayne County,104666,97054,85408,82059,64267,58328,39483,35032,25370,21935,16233,12274
Wilkes County,59393,58657,49524,45269,45243,43003,24960,22117,15906,12659,11474,9283
Wilson County,66061,63132,57486,57716,54506,50219,26662,23447,17846,15804,13255,11217
Yadkin County,30488,28439,24599,22804,22133,20657,12921,11099,8306,6865,5850,4692
Yancey County,15419,14934,12629,14008,16306,17202,7994,6882,4563,4061,4109,3776
,,,,,,,,,,,,
North Dakota,,,,,,,,,,,,
Adams County,3174,3584,3832,4449,4910,4664,1504,1563,1317,1418,1454,1372
Barnes County,12545,13960,14669,16719,16884,17814,5801,5976,5302,5151,4939,4791
Benson County,7198,7944,8245,9435,10675,12629,3163,3084,2718,3003,3086,3093
Billings County,1108,1138,1198,1513,1777,2531,533,517,392,429,487,614
Bottineau County,8011,9239,9496,11315,12140,13253,4661,4679,4009,4219,3878,3800
Bowman County,3596,4229,3901,4154,4001,3860,1691,1722,1365,1371,1272,1165
Burke County,3002,3822,4739,5886,6621,7653,1691,1816,1813,2202,2241,2194
Burleigh County,60131,54811,40714,34016,25673,22736,23803,20848,12983,10311,7185,5790
Cass County,102874,88247,73653,66947,58877,52849,42407,35215,24278,20679,16506,13722
Cavalier County,6064,7636,8213,10064,11840,13923,3038,3123,2932,3213,3332,3426
Dickey County,6107,7207,6976,8147,9121,9696,2763,2838,2471,2605,2665,2516
Divide County,2899,3494,4564,5566,5967,7086,1667,1783,1667,2008,2022,2216
Dunn County,4005,4627,4895,6350,7212,8376,2057,1849,1605,1851,1869,1973
Eddy County,2951,3554,4103,4936,5372,5741,1470,1541,1477,1518,1509,1439
Emmons County,4830,5877,7200,8462,9715,11699,2200,2322,2167,2317,2478,2379
Foster County,3983,4611,4832,5361,5337,5824,1876,1827,1649,1635,1551,1497
Golden Valley County,2108,2391,2611,3100,3499,3498,1035,1033,915,995,1034,1015
Grand Forks County,70683,66100,61102,48677,39443,34518,27085,24563,18192,14185,10788,9004
Grant County,3549,4274,5009,6248,7114,8264,2011,1969,1649,1886,1875,2002
Griggs County,3303,3714,4184,5023,5460,5818,1660,1739,1658,1684,1640,1611
Hettinger County,3445,4275,5075,6317,7100,7457,1637,1668,1579,1810,1845,1833
Kidder County,3332,3833,4362,5386,6168,6692,1672,1740,1505,1615,1685,1632
LaMoure County,5383,6473,7117,8705,9498,10298,2434,2527,2550,2639,2647,2627
Logan County,2847,3493,4245,5369,6357,7561,1335,1422,1384,1586,1616,1637
McHenry County,6528,7858,8977,11099,12556,14034,3320,3437,3223,3505,3615,3594
McIntosh County,4021,4800,5545,6702,7590,8984,2031,2197,1982,2153,2150,2061
McKenzie County,6383,7132,6127,7296,6849,8426,3178,2944,2227,2451,2183,2519
McLean County,10457,12383,11251,14030,18824,16082,5515,5754,4282,4723,5356,4051
Mercer County,9808,9404,6175,6805,8686,9611,4496,3978,2253,2336,2375,2197
Morton County,23700,25177,20310,20992,19295,20184,9467,9382,6317,6091,5204,4659
Mountrail County,7021,7679,8437,10077,9418,10482,3675,3201,3176,3254,3060,3017
Nelson County,4410,5233,5807,7034,8090,9129,2261,2442,2214,2416,2449,2337
Oliver County,2381,2495,2322,2610,3091,3859,968,960,753,749,813,898
Pembina County,9238,10399,10728,12946,13990,15671,4294,4438,3894,4001,3979,3809
Pierce County,5052,6166,6323,7394,8326,9208,2355,2376,2076,2185,2271,2108
Ramsey County,12681,13048,12915,13443,14373,15626,5616,5259,4387,4121,4049,3981
Ransom County,5921,6698,7102,8078,8876,10061,2569,2712,2602,2633,2608,2581
Renville County,3160,3608,3828,4698,5405,5533,1558,1530,1395,1628,1711,1617
Richland County,18148,19207,18089,18824,19865,20519,7394,7182,5749,5719,5535,4983
Rolette County,12772,12177,11549,10641,11102,12583,4742,3923,3015,2675,2702,2751
Sargent County,4549,5512,5937,6856,7616,8693,2057,2210,2025,2032,2141,2228
Sheridan County,2148,2819,3232,4350,5253,6616,1061,1180,1202,1386,1486,1568
Sioux County,3761,3620,3632,3662,3696,4419,1175,1062,943,851,862,1043
Slope County,907,1157,1484,1893,2315,2932,481,513,477,622,702,897
Stark County,22832,23697,19613,18451,16137,15414,9585,8487,5748,5103,4194,3599
Steele County,2420,3106,3749,4719,5145,6193,1311,1447,1394,1549,1528,1564
Stutsman County,22241,24154,23550,25137,24158,23495,9770,9663,7741,7037,6285,5676
Towner County,3627,4052,4645,5624,6360,7200,1770,1692,1684,1855,1938,1888
Traill County,8752,9624,9571,10583,11359,12300,3770,3926,3529,3412,3342,3042
Walsh County,13840,15371,16251,17997,18859,20747,6093,6153,5307,5508,5199,4814
Ward County,57921,58392,58560,47072,34782,31981,23585,21521,17402,14098,10130,8567
Wells County,5864,6979,7847,9237,10417,11198,2869,2886,2881,3025,3017,2913
Williams County,21129,22237,19301,22051,16442,16315,10180,8953,6780,7149,5281,4571
,,,,,,,,,,,,
Ohio,,,,,,,,,,,,
Adams County,25371,24328,18957,19982,20499,21705,10237,9117,6890,6759,6648,6106
Allen County,109755,112241,111144,103691,88183,73303,42758,41887,35477,32265,26662,20650
Ashland County,47507,46178,43303,38771,33040,29785,18139,17079,13790,12746,10620,8984
Ashtabula County,99821,104215,98237,93067,78695,68674,41214,40528,33835,32506,26875,22327
Athens County,59549,56399,55747,46998,45839,46166,21737,19877,16570,13614,12855,12713
Auglaize County,44585,42554,38602,36147,30637,28037,16907,15499,12374,11314,9583,8139
Belmont County,71074,82569,80917,83864,87740,95614,30575,31863,27768,27716,26700,25597
Brown County,34966,31920,26635,25178,22221,21638,13720,11846,8936,8103,7082,6629
Butler County,291479,258787,226207,199076,147203,120249,110353,92528,69284,58544,42173,33366
Carroll County,26521,25598,21579,20857,19039,17449,11536,10323,7881,6934,5807,4958
Champaign County,36019,33649,30491,29714,26793,25258,14030,12503,10172,9488,8571,7516
Clark County,147548,150236,157115,131440,111661,95647,58377,56398,50071,40901,33507,27540
Clermont County,150187,128483,95372,80530,42182,34109,55315,44760,27530,22939,12917,10208
Clinton County,35415,34603,31464,30004,25572,22574,13740,12866,10412,9690,8123,7005
Columbiana County,108276,113572,108310,107004,98920,90121,44035,43029,35960,34396,30255,25307
Coshocton County,35427,36024,33486,32224,31141,30594,14964,14230,12044,11157,10168,9196
Crawford County,47870,50075,50364,46775,38738,35571,19514,19537,16914,15231,12564,10755
Cuyahoga County,1412140,1498400,1720835,1647895,1389532,1217250,604538,596637,577483,518682,414889,348063
Darke County,53619,55096,49141,45612,41799,38831,20338,20016,16464,14800,13140,11494
Defiance County,39350,39987,36949,31508,25925,24367,14737,14257,11318,9607,8080,7152
Delaware County,66929,53840,42908,36107,30278,26780,24377,18816,13269,10895,8943,8072
Erie County,76779,79655,75909,68000,52565,43201,32827,31335,25812,22993,17787,13748
Fairfield County,103461,93678,73301,63951,52130,48490,39014,33883,24866,21318,17214,14572
Fayette County,27466,27467,25461,24775,22554,21385,10816,10380,8802,8073,7067,6256
Franklin County,961437,869126,833249,682923,503410,388712,405418,347234,271253,214056,148214,109737
Fulton County,38498,37751,33071,29301,25580,23626,14095,13330,10788,9016,7924,7087
Gallia County,30954,30098,25239,26120,24910,24930,12564,11443,8226,7632,6753,6400
Geauga County,81129,74474,62977,47573,26646,19430,27922,24286,17878,14128,8456,6027
Greene County,136731,129769,125057,94642,58892,35863,50238,45040,36226,26493,16404,9959
Guernsey County,39024,42024,37665,38579,38452,38822,17262,16648,13389,13069,12221,11672
Hamilton County,866228,873203,925944,864121,723952,621987,361421,343309,311938,279429,228833,192218
Hancock County,65536,64581,61217,53686,44280,40793,26107,24610,20485,17699,14493,12198
Hardin County,31111,32719,30813,29633,28673,27061,11976,11997,10179,9642,9059,8261
Harrison County,16085,18152,17013,17995,19054,20313,7301,7068,6186,6067,5988,5794
Henry County,29108,28383,27058,25392,22423,22756,11000,10806,9429,7999,7018,6594
Highland County,35728,33477,28996,29716,28188,27099,14842,13898,10648,10296,9164,8320
Hocking County,25533,24304,20322,20168,19520,21504,10481,9580,7518,6809,6264,5988
Holmes County,32849,29416,23024,21591,18760,17876,10007,8786,6412,5840,5116,4736
Huron County,56240,54608,49587,47326,39353,34800,21382,20184,15823,14464,12077,10334
Jackson County,30230,30592,27174,29372,27767,27004,12452,11662,9571,9556,8341,7381
Jefferson County,80298,91564,96193,99201,96495,98129,33911,35668,31392,30655,27538,25119
Knox County,47473,46304,41795,38808,35287,31024,18508,17269,14007,12589,10922,9571
Lake County,215499,212801,197200,148700,75979,50020,83194,75166,57485,43770,24013,16471
Lawrence County,61834,63849,56868,55438,49115,46705,24788,23564,19180,17186,14158,11896
Licking County,128300,120981,107799,90242,70645,62279,50032,45002,35731,29465,23160,19818
Logan County,42310,39155,35072,34803,31329,29624,19473,18549,14703,13964,12464,10919
Lorain County,271126,274909,256843,217500,148162,112390,99937,95953,75916,62349,43044,31666
Lucas County,462361,471741,483551,456931,395551,344333,191388,184988,159466,146878,119111,99965
Madison County,37068,33004,28318,26454,22300,21811,12621,11361,8703,7518,6163,5660
Mahoning County,264806,289487,304545,300480,257629,240251,107915,108583,96985,90675,71984,60283
Marion County,64274,67974,64724,60221,49959,44898,25149,25308,21257,18871,15254,13119
Medina County,122354,113150,82717,65315,40417,33034,43330,38021,24058,19595,12804,9961
Meigs County,22987,23641,19799,22159,23227,24104,9795,9290,7329,7531,7407,7145
Mercer County,39443,38334,35558,32559,28311,26256,14969,14233,11387,10208,8620,7188
Miami County,93182,90381,84342,72901,61309,52632,35985,33688,27792,23694,19324,15433
Monroe County,15497,17382,15739,15268,15362,18641,6567,6492,5474,5306,5131,5337
Montgomery County,573809,571697,608413,527080,398441,295480,240820,227582,198046,162609,117123,83963
Morgan County,14194,14241,12375,12747,12836,14227,6681,6134,4879,4665,4473,4426
Morrow County,27749,26480,21348,19405,17168,15646,10312,9497,6811,5967,5277,4771
Muskingum County,82068,83340,77826,79159,74535,69795,33029,31898,26369,25502,22977,20602
Noble County,11336,11310,10428,10982,11750,14587,4998,4792,3830,3946,3795,4415
Ottawa County,40029,40076,37099,35323,29469,24360,23340,23057,15250,14687,11021,8294
